Datacenter Name,Total Energy Used (kWh), cloudlets
Node1,0.000032,10
Node2,0.000032,20
Node3,0.000032,30
Node4,0.000035,40
Node5,0.000035,50
Node6,0.000035,60
Node7,0.000035,70
Node8,0.000035,80
Node9,0.000035,90
Node10,0.000035,100
Node11,0.000035,110
Node12,0.000035,120
Node13,0.000035,130
